id_usuario,nombre,mail,password,username,id_videojuego,cantidad,veredicto,titulo,texto
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,673.0,0.75,,,
28,Alexandra Lambert,alambert@icloud.com,YIJMpBq3,alambert1984,673.0,0.25,,,
91,Travis Meyers,tmeyers@yahoo.it,rnFwF4aL,tmeyers1960,233.0,2.0,,,
9,Jeffrey Aguirre,jaguirre@yahoo.it,dL1lawrd,jaguirre1971,126.0,10.5,,,
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,7344.0,4.25,,,
97,Jennifer Mclaughlin,jmclaughlin@yahoo.it,ewdv9IPt,jmclaughlin2001,1164.0,0.0,,,
82,Donald West,dwest@hotmail.com,h49f9vtW,dwest1975,545.0,2.25,,,
130,Eric Taylor,etaylor@yahoo.it,NZQdoyvw,etaylor1969,11133.0,52.0,,,
107,Sierra Garrett,sgarrett@hotmail.com,aJ1i7pVt,sgarrett1983,1262.0,0.75,,,
113,Mr. Terry Ward,mterry@yahoo.com,4QaoW1b6,mterry1965,11156.0,24.0,,,
92,Kristopher Poole,kpoole@hotmail.com,nlHJ64kw,kpoole1969,327.0,90.0,,,
64,Michelle Weber,mweber@yahoo.it,TV912g59,mweber1962,1070.0,5.5,,,
150,Jared Pratt,jpratt@yahoo.it,kcQDLiw5,jpratt1973,12517.0,90.0,,,
146,John Wade,jwade@icloud.com,ENjqJ0g3,jwade1981,733.0,1.75,,,
84,David Kennedy,dkennedy@icloud.com,1cEgUKPh,dkennedy1960,1970.0,1.25,,,
115,Alexa York,ayork@icloud.com,VRlki1jC,ayork1984,673.0,4.75,,,
142,Matthew Whitney,mwhitney@hotmail.com,qVYt81JH,mwhitney1991,116.0,1.25,,,
23,Donna Johnson,djohnson@yahoo.es,oxf4uFom,djohnson1984,1020.0,1.25,,,
104,Danielle Middleton,dmiddleton@gmail.com,mukaT7rx,dmiddleton1994,1942.0,0.25,,,
101,Dawn Peters,dpeters@icloud.com,wSmv55zq,dpeters1968,1011.0,4.25,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,1121.0,2.5,,,
147,Barbara Sanchez,bsanchez@yahoo.com,zeW5Pha5,bsanchez1994,431.0,52.0,,,
125,Gregory Berry,gberry@yahoo.it,rDUQSQVX,gberry1982,7342.0,0.25,,,
133,Brian Rios,brios@icloud.com,ow8NkWYm,brios1983,1970.0,4.25,,,
89,Amanda Smith,asmith@gmail.com,2HpVCr81,asmith1989,960.0,16.0,,,
47,Jeffrey Brown,jbrown@gmail.com,rUES9Men,jbrown1968,2993.0,4.0,,,
116,Mr. Brent Barajas,mbrent@hotmail.com,SltGL55J,mbrent1977,15.0,52.0,,,
121,Dean Warner,dwarner@icloud.com,Mz5QOECs,dwarner1963,622.0,2.5,,,
113,Mr. Terry Ward,mterry@yahoo.com,4QaoW1b6,mterry1965,529.0,2.0,,,
94,Cynthia Simmons,csimmons@yahoo.it,t6sHW9dD,csimmons1972,9630.0,24.0,,,
88,Courtney Barr,cbarr@gmail.com,Wwm7b2qs,cbarr1993,673.0,16.0,,,
88,Courtney Barr,cbarr@gmail.com,Wwm7b2qs,cbarr1993,15.0,4.0,,,
9,Jeffrey Aguirre,jaguirre@yahoo.it,dL1lawrd,jaguirre1971,622.0,52.0,,,
88,Courtney Barr,cbarr@gmail.com,Wwm7b2qs,cbarr1993,6801.0,10.0,,,
117,Sharon Vaughan,svaughan@gmail.com,OBgdy9ZL,svaughan1970,732.0,60.0,,,
41,Sandra Ballard,sballard@hotmail.com,0cKXBQgM,sballard2001,116.0,3.25,,,
92,Kristopher Poole,kpoole@hotmail.com,nlHJ64kw,kpoole1969,1009.0,4.75,,,
117,Sharon Vaughan,svaughan@gmail.com,OBgdy9ZL,svaughan1970,1262.0,24.0,,,
98,David Cline,dcline@yahoo.es,qn4RRRHk,dcline1963,549.0,45.5,,,
32,Mitchell Taylor,mtaylor@gmail.com,VP7qD9CW,mtaylor1996,109.0,100.0,,,
146,John Wade,jwade@icloud.com,ENjqJ0g3,jwade1981,1020.0,2.25,,,
125,Gregory Berry,gberry@yahoo.it,rDUQSQVX,gberry1982,1352.0,2.5,,,
22,Daniel Bentley,dbentley@yahoo.it,dVk9wNFx,dbentley1972,121.0,90.0,,,
80,Nicholas Snyder,nsnyder@hotmail.com,38mdWYSX,nsnyder1960,71.0,0.25,,,
99,Allen Hicks,ahicks@yahoo.es,Lx88NX4L,ahicks1988,75.0,0.0,,,
81,Holly Scott,hscott@gmail.com,fvaf0jVO,hscott1985,733.0,80.25,,,
149,Amanda Robertson,arobertson@yahoo.it,eXCXIleM,arobertson1963,1262.0,90.0,,,
23,Donna Johnson,djohnson@yahoo.es,oxf4uFom,djohnson1984,358.0,2.25,,,
115,Alexa York,ayork@icloud.com,VRlki1jC,ayork1984,1262.0,1.25,,,
9,Jeffrey Aguirre,jaguirre@yahoo.it,dL1lawrd,jaguirre1971,427.0,4.25,,,
79,Michael Stewart,mstewart@hotmail.com,gnBKK1zl,mstewart1996,231.0,48.0,,,
47,Jeffrey Brown,jbrown@gmail.com,rUES9Men,jbrown1968,14593.0,1.0,,,
137,Alexander Webb,awebb@yahoo.es,5e7AnmrQ,awebb1962,73.0,1.75,,,
108,Laura Mcdaniel,lmcdaniel@icloud.com,suykYALE,lmcdaniel1995,1871.0,2.0,,,
46,Sherri Smith,ssmith@hotmail.com,nwS2invN,ssmith1991,537.0,5.0,,,
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,622.0,100.0,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,9630.0,11.0,,,
134,Joseph Harrison,jharrison@yahoo.es,ZCtisRw5,jharrison1997,3025.0,90.0,,,
69,Jonathan Kennedy,jkennedy@hotmail.com,Nvxb8bUc,jkennedy1987,,,,,
94,Cynthia Simmons,csimmons@yahoo.it,t6sHW9dD,csimmons1972,529.0,90.0,,,
80,Nicholas Snyder,nsnyder@hotmail.com,38mdWYSX,nsnyder1960,73.0,0.5,,,
9,Jeffrey Aguirre,jaguirre@yahoo.it,dL1lawrd,jaguirre1971,327.0,4.0,,,
126,Matthew Hammond,mhammond@icloud.com,OVyLrJKy,mhammond1980,7323.0,2.0,,,
138,Kevin Jackson,kjackson@yahoo.es,aOqas1F7,kjackson1963,1871.0,10.0,,,
142,Matthew Whitney,mwhitney@hotmail.com,qVYt81JH,mwhitney1991,1121.0,0.0,,,
30,Courtney Zuniga,czuniga@yahoo.es,WD76B8dh,czuniga1995,545.0,90.0,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,1942.0,0.75,,,
111,Ryan Merritt,rmerritt@icloud.com,5lqZRmWV,rmerritt1967,11208.0,34.5,,,
140,Katherine Smith,ksmith@icloud.com,HP8EuHQ2,ksmith2000,,,,,
47,Jeffrey Brown,jbrown@gmail.com,rUES9Men,jbrown1968,73.0,10.0,,,
83,Peter Barber,pbarber@icloud.com,5gtKhoFM,pbarber1971,1942.0,4.25,,,
32,Mitchell Taylor,mtaylor@gmail.com,VP7qD9CW,mtaylor1996,7342.0,2.75,,,
144,Michael Pugh,mpugh@icloud.com,idyJuY0H,mpugh1999,116.0,3.5,,,
134,Joseph Harrison,jharrison@yahoo.es,ZCtisRw5,jharrison1997,1262.0,3.25,,,
122,Caroline Wilson,cwilson@gmail.com,2V1fvJAB,cwilson1965,7342.0,1.25,,,
98,David Cline,dcline@yahoo.es,qn4RRRHk,dcline1963,1164.0,90.0,,,
111,Ryan Merritt,rmerritt@icloud.com,5lqZRmWV,rmerritt1967,730.0,52.0,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,6036.0,32.5,,,
28,Alexandra Lambert,alambert@icloud.com,YIJMpBq3,alambert1984,37.0,2.5,,,
142,Matthew Whitney,mwhitney@hotmail.com,qVYt81JH,mwhitney1991,343.0,3.0,,,
126,Matthew Hammond,mhammond@icloud.com,OVyLrJKy,mhammond1980,358.0,2.75,,,
78,Kimberly Williams,kwilliams@gmail.com,QR867UAL,kwilliams1970,9630.0,9.5,,,
44,Heidi Hood,hhood@hotmail.com,wfhYEQHK,hhood1985,529.0,3.5,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,11198.0,0.0,,,
120,Amanda Sandoval,asandoval@yahoo.es,Mnv5OmqE,asandoval1990,1942.0,75.0,,,
146,John Wade,jwade@icloud.com,ENjqJ0g3,jwade1981,74.0,,positivo,Mejor juego o mejor juego,Ideal para la pandemia
107,Sierra Garrett,sgarrett@hotmail.com,aJ1i7pVt,sgarrett1983,1384.0,,positivo,"No decepciona, incluso sorprende","Consistente, repleto de contenido, soprendentemente bueno"
150,Jared Pratt,jpratt@yahoo.it,kcQDLiw5,jpratt1973,622.0,10.0,,,
82,Donald West,dwest@hotmail.com,h49f9vtW,dwest1975,1970.0,10.0,,,
125,Gregory Berry,gberry@yahoo.it,rDUQSQVX,gberry1982,7323.0,4.75,,,
86,Annette Randolph,arandolph@yahoo.com,lYKgY0ln,arandolph1981,247.0,1.75,,,
80,Nicholas Snyder,nsnyder@hotmail.com,38mdWYSX,nsnyder1960,538.0,80.25,,,
79,Michael Stewart,mstewart@hotmail.com,gnBKK1zl,mstewart1996,472.0,4.75,,,
126,Matthew Hammond,mhammond@icloud.com,OVyLrJKy,mhammond1980,533.0,2.0,,,
134,Joseph Harrison,jharrison@yahoo.es,ZCtisRw5,jharrison1997,960.0,80.25,,,
97,Jennifer Mclaughlin,jmclaughlin@yahoo.it,ewdv9IPt,jmclaughlin2001,979.0,52.0,,,
80,Nicholas Snyder,nsnyder@hotmail.com,38mdWYSX,nsnyder1960,1887.0,4.0,,,
143,Sharon Weber,sweber@gmail.com,1KvE1GH9,sweber1966,21.0,2.25,,,
93,Joanna Brewer,jbrewer@gmail.com,InlgLdUD,jbrewer1984,11156.0,1.5,,,
77,Anthony Clark,aclark@yahoo.it,PsFGHSvv,aclark1972,493.0,26.0,,,
134,Joseph Harrison,jharrison@yahoo.es,ZCtisRw5,jharrison1997,1970.0,0.25,,,
54,Kyle Mckenzie,kmckenzie@yahoo.it,8unHco8S,kmckenzie1982,731.0,,positivo,Vine buscando cobre y encontré oro,No puedo creer que no haya jugado esto antes
83,Peter Barber,pbarber@icloud.com,5gtKhoFM,pbarber1971,39.0,3.0,,,
117,Sharon Vaughan,svaughan@gmail.com,OBgdy9ZL,svaughan1970,733.0,4.0,,,
77,Anthony Clark,aclark@yahoo.it,PsFGHSvv,aclark1972,1011.0,0.75,,,
111,Ryan Merritt,rmerritt@icloud.com,5lqZRmWV,rmerritt1967,7323.0,16.0,,,
120,Amanda Sandoval,asandoval@yahoo.es,Mnv5OmqE,asandoval1990,11133.0,3.5,,,
98,David Cline,dcline@yahoo.es,qn4RRRHk,dcline1963,1802.0,1.0,,,
146,John Wade,jwade@icloud.com,ENjqJ0g3,jwade1981,6801.0,32.0,,,
129,Richard Cummings,rcummings@gmail.com,b8plrpfa,rcummings1976,40.0,0.25,,,
137,Alexander Webb,awebb@yahoo.es,5e7AnmrQ,awebb1962,1352.0,3.0,,,
54,Kyle Mckenzie,kmckenzie@yahoo.it,8unHco8S,kmckenzie1982,37.0,1.0,,,
91,Travis Meyers,tmeyers@yahoo.it,rnFwF4aL,tmeyers1960,18.0,23.5,,,
96,Mrs. Paula Monroe DDS,mpaula@icloud.com,QLSkaoC4,mpaula1990,3025.0,4.75,,,
129,Richard Cummings,rcummings@gmail.com,b8plrpfa,rcummings1976,7346.0,1.75,,,
134,Joseph Harrison,jharrison@yahoo.es,ZCtisRw5,jharrison1997,11198.0,3.5,,,
149,Amanda Robertson,arobertson@yahoo.it,eXCXIleM,arobertson1963,124.0,100.0,,,
36,Leslie Moore,lmoore@yahoo.com,uLZ8p2nf,lmoore1966,1942.0,3.0,,,
139,Jason Williams,jwilliams@yahoo.it,vmDmX83Y,jwilliams1974,1011.0,3.75,,,
78,Kimberly Williams,kwilliams@gmail.com,QR867UAL,kwilliams1970,673.0,48.0,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,1164.0,5.0,,,
86,Annette Randolph,arandolph@yahoo.com,lYKgY0ln,arandolph1981,40.0,1.0,,,
69,Jonathan Kennedy,jkennedy@hotmail.com,Nvxb8bUc,jkennedy1987,538.0,3.5,,,
77,Anthony Clark,aclark@yahoo.it,PsFGHSvv,aclark1972,25076.0,3.0,,,
150,Jared Pratt,jpratt@yahoo.it,kcQDLiw5,jpratt1973,559.0,3.75,,,
104,Danielle Middleton,dmiddleton@gmail.com,mukaT7rx,dmiddleton1994,116.0,24.0,,,
105,Charles Gordon,cgordon@gmail.com,kc8gQfxD,cgordon1977,43.0,0.0,,,
10,Antonio Shaw,ashaw@icloud.com,qSOfdTgQ,ashaw1989,75.0,10.0,,,
98,David Cline,dcline@yahoo.es,qn4RRRHk,dcline1963,7344.0,1.0,,,
87,Melissa Rodriguez,mrodriguez@yahoo.com,mVqchhZq,mrodriguez1969,1068.0,9.5,,,
83,Peter Barber,pbarber@icloud.com,5gtKhoFM,pbarber1971,472.0,2.0,,,
28,Alexandra Lambert,alambert@icloud.com,YIJMpBq3,alambert1984,,,,,
148,Mario Shepard,mshepard@hotmail.com,3vVZGIhO,mshepard1995,1164.0,1.5,,,
102,Benjamin Miller,bmiller@yahoo.it,RRMlowlh,bmiller1969,974.0,1.5,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,113.0,2.0,,,
101,Dawn Peters,dpeters@icloud.com,wSmv55zq,dpeters1968,14593.0,48.0,,,
129,Richard Cummings,rcummings@gmail.com,b8plrpfa,rcummings1976,9730.0,27.5,,,
150,Jared Pratt,jpratt@yahoo.it,kcQDLiw5,jpratt1973,14593.0,2.25,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,9630.0,22.5,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,358.0,4.5,,,
64,Michelle Weber,mweber@yahoo.it,TV912g59,mweber1962,7599.0,60.0,,,
142,Matthew Whitney,mwhitney@hotmail.com,qVYt81JH,mwhitney1991,974.0,5.0,,,
110,Craig Smith,csmith@hotmail.com,tzxSkUzQ,csmith1994,533.0,32.0,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,1942.0,2.5,,,
19,Bradley Patel,bpatel@icloud.com,4oeUETEP,bpatel1980,14593.0,60.0,,,
99,Allen Hicks,ahicks@yahoo.es,Lx88NX4L,ahicks1988,1384.0,,positivo,"No decepciona, incluso sorprende",A mi hijo le encanta
96,Mrs. Paula Monroe DDS,mpaula@icloud.com,QLSkaoC4,mpaula1990,622.0,2.0,,,
131,Sandra White,swhite@yahoo.it,AlTbt6GM,swhite1976,74.0,40.0,,,
84,David Kennedy,dkennedy@icloud.com,1cEgUKPh,dkennedy1960,128.0,10.0,,,
78,Kimberly Williams,kwilliams@gmail.com,QR867UAL,kwilliams1970,128.0,60.0,,,
145,Thomas Ashley,tashley@icloud.com,0ZhZO33t,tashley1984,5503.0,,positivo,Nisiquiera la mejor de las odas podría describir este juego,Ahhhh... un manjarsh
89,Amanda Smith,asmith@gmail.com,2HpVCr81,asmith1989,1011.0,4.25,,,
22,Daniel Bentley,dbentley@yahoo.it,dVk9wNFx,dbentley1972,2031.0,36.5,,,
111,Ryan Merritt,rmerritt@icloud.com,5lqZRmWV,rmerritt1967,1266.0,3.5,,,
